Experiment,Correction,VIP
FieldExcursion,SVI,Datt8
FieldExcursion,SVI,Datt4
FieldExcursion,SVI,PSSRc
FieldExcursion,SVI,SRPI
FieldExcursion,SVI,SR7
FieldExcursion,SVI,DWSI1
FieldExcursion,SVI,mSR
FieldExcursion,SVI,MPRI
FieldExcursion,SVI,SR5
FieldExcursion,SVI,PSRI
FieldExcursion,SVI,REP_LE
FieldExcursion,SVI,PSND
FieldExcursion,SVI,SRWI
FieldExcursion,SVI,Boochs
FieldExcursion,SVI,Datt6
FieldExcursion,SVI,NDWI
FieldExcursion,SVI,CRI1
FieldExcursion,SVI,DWSI2
